100 Years of Lynchings	Ralph Ginzburg
1000 Record Covers	Michael Ochs-Patrick Javault-Ulrike Wasel
A Book of Common Prayer	Joan Didion
A Changeling for All Seasons (Changeling Seasons #1)	Angela Knight-Sahara Kelly-Judy Mays-Marteeka Karland-Kate Douglas-Shelby Morgen-Lacey Savage-Kate Hill-Willa Okati
A Long Shadow (Inspector Ian Rutledge  #8)	Charles Todd
A Shadow in Summer (Long Price Quartet  #1)	Daniel Abraham
A Short History of Nearly Everything	Bill Bryson-William Roberts
A War Like No Other: How the Athenians & Spartans Fought the Peloponnesian War	Victor Davis Hanson
A Wrinkle in Time: A Guide for Using "A Wrinkle in Time" in the Classroom	John Carratello-Patty Carratello-Theresa Wright
A Wrinkle in Time: With Related Readings (A Wrinkle in Time Quintet #1)	Madeleine L'Engle
Active Literacy Across the Curriculum: Strategies for Reading  Writing  Speaking  and Listening	Heidi Hayes Jacobs
Against the Day	Thomas Pynchon
Agile Web Development with Rails: A Pragmatic Guide	Dave Thomas-David Heinemeier Hansson-Leon Breedt-Mike Clark-Thomas  Fuchs-Andreas  Schwarz
Always Enough: God's Miraculous Provision Among the Poorest Children on Earth	Heidi Baker-Rolland Baker
America (The Book): A Citizen's Guide to Democracy Inaction	Jon Stewart-Ben Karlin-David Javerbaum-Rich Bloomquist-Steve Bodow-Tim Carvell-Eric Drysdale-J.R. Havlan-Scott Jacobson-Tom Johnson-Rob Kutner-Chris Regan-Jason Reich-Jason Ross-Stephen Colbert-Samantha Bee-Rob Corddry-Brendan Hay-Ed Helms
Americana	Don DeLillo
Angels & Demons (Robert Langdon  #1)	Dan Brown
Anna Karenina	Leo Tolstoy-Amy Mandelker-Constance Garnett
Anna Karenina	Leo Tolstoy-Constance Garnett-Amy Mandelker
Anna Karenina	Leo Tolstoy-David Magarshack-Priscilla Meyer
Anna Karenina	Leo Tolstoy-Louise Maude-Aylmer Maude
Anna Karenina	Leo Tolstoy-Richard Pevear-Larissa Volokhonsky
Anna Karenina	Leo Tolstoy-Richard Pevear-Larissa Volokhonsky-John Bayley
Annals of the Former World	John McPhee
Another Bullshit Night in Suck City	Nick Flynn
Anthem	Ayn Rand
Artesia: Adventures in the Known World	Mark Smylie
Atlas Shrugged	Ayn Rand-Leonard Peikoff
Been Down So Long It Looks Like Up To Me	Richard FariÃ±a-Thomas Pynchon
Best of London (Lonely Planet Best Of)	Lonely Planet-Sarah Johnstone-Steve Fallon
Bowling Alone: The Collapse and Revival of American Community	Robert D. Putnam
Boys of Summer	Julie Elizabeth Leto-Leslie Kelly-Kimberly Raye
Capitalism: The Unknown Ideal	Ayn Rand-Nathaniel Branden-Alan Greenspan-Robert Hessen
Changeling (Changeling  #1)	Delia Sherman
Chapterhouse: Dune (Dune Chronicles #6)	Frank Herbert
Children of Dune (Dune Chronicles #3)	Frank Herbert
Cien aÃ±os de soledad	Gabriel GarcÃ­a MÃ¡rquez
Cien aÃ±os de soledad	Gabriel GarcÃ­a MÃ¡rquez
Cien aÃ±os de soledad	Gabriel GarcÃ­a MÃ¡rquez
City of Glass (The New York Trilogy  #1)	Paul Auster
CliffsNotes on Tolstoy's Anna Karenina	Marianne Sturman-Leo Tolstoy
Collapse of Complex Societies	Joseph A. Tainter
Collapse: How Societies Choose to Fail or Succeed	Jared Diamond
Collected Stories	Gabriel GarcÃ­a MÃ¡rquez-Gregory Rabassa-J.S. Bernstein
Coming Into the Country	John McPhee
Cooking with Fernet Branca (Gerald Samper  #1)	James Hamilton-Paterson
Cosmopolis	Don DeLillo
Cryptonomicon	Neal Stephenson
CrÃ³nica de una muerte anunciada	Gabriel GarcÃ­a MÃ¡rquez
Da Vinci Code (Robert Langdon  #2)	Dan Brown-Daniel Roche
Dalit: The Black Untaouchables of India	V.T. Rajshekar-Y.N. Kly
Daniel Deronda	George Eliot-Edmund White
Deception Point	Dan Brown
Del amor y otros demonios	Gabriel GarcÃ­a MÃ¡rquez
Democracy	Joan Didion
